,ExpNum,ID,CodeExclu,Answer,AverageExpertise_x,AvergeConfidence,Confidence,DelID,GuruID,ProbaDel,Unnamed: 0,Unnamed: 0.1,Weight,CodeQuestion,Proba,country,gender,gender_,unique_id,unique_id_q,AverageExpertise_y,IRTExpertise,Normalized_IRT,Normalized_IRT_1
0,E10,0,K,0.75,0.75,,,17.0,17.0,1.0,66.5,2.0,0.0,,0.8,france,male,,E10_0,E10_0_K,0.75,0.7871066501746512,0.796612326082138,5.9322465216427585
1,E10,0,PC,0.875,0.875,,,17.0,17.0,1.0,370.5,2.0,0.0,,0.8,france,male,,E10_0,E10_0_PC,0.875,0.9067070586504825,0.8288760981073859,6.577521962147717
2,E10,0,PE9,0.5,0.5,,,,0.0,0.0,218.5,2.0,1.0,,0.6,france,male,,E10_0,E10_0_PE9,0.5,-0.24749865796582657,0.5175140334981195,0.35028066996239104
3,E10,0,T,0.75,0.75,,,,0.0,0.0,522.5,2.0,1.0,,0.4,france,male,,E10_0,E10_0_T,0.75,0.6775649192854597,0.7670620136902357,5.341240273804715
4,E10,1,K,0.375,0.375,,,,1.0,0.0,67.5,3.0,1.0,,0.6,france,male,,E10_1,E10_1_K,0.375,-0.24272244581449023,0.5188024790975848,0.3760495819516958
5,E10,1,PC,0.75,0.75,,,2.0,15.0,1.0,371.5,3.0,0.0,,0.2,france,male,,E10_1,E10_1_PC,0.75,0.5938052113204852,0.7444667386646545,4.889334773293088
6,E10,1,PE9,0.5,0.5,,,5.0,5.0,1.0,219.5,3.0,0.0,,0.4,france,male,,E10_1,E10_1_PE9,0.5,0.17169455305705547,0.6305968763356249,2.611937526712497
7,E10,1,T,0.875,0.875,,,,1.0,0.0,523.5,3.0,4.0,,0.4,france,male,,E10_1,E10_1_T,0.875,1.014987994146195,0.8580862944774109,7.161725889548219
8,E10,2,K,0.875,0.875,,,3.0,3.0,1.0,68.5,4.0,0.0,,0.8,france ,male,,E10_2,E10_2_K,0.875,1.0914576055481928,0.8787149707551506,7.57429941510301
9,E10,2,PC,0.75,0.75,,,15.0,15.0,1.0,372.5,4.0,0.0,,0.2,france ,male,,E10_2,E10_2_PC,0.75,0.7726199756319502,0.7927043564455283,5.854087128910564
10,E10,2,PE9,0.25,0.25,,,,2.0,0.0,220.5,4.0,2.0,,0.6,france ,male,,E10_2,E10_2_PE9,0.25,-0.7539091349520727,0.3809031942133776,-2.381936115732448
11,E10,2,T,0.375,0.375,,,1.0,1.0,1.0,524.5,4.0,0.0,,0.6,france ,male,,E10_2,E10_2_T,0.375,-0.5475053094524908,0.43658332153002694,-1.268333569399461
12,E10,3,K,0.875,0.875,,,,3.0,0.0,69.5,5.0,7.0,,0.4,france,non-binary,,E10_3,E10_3_K,0.875,1.0914576055481928,0.8787149707551506,7.57429941510301
13,E10,3,PC,0.625,0.625,,,,3.0,0.0,373.5,5.0,4.0,,0.8,france,non-binary,,E10_3,E10_3_PC,0.625,0.3833350688885794,0.6876896692542546,3.753793385085091
14,E10,3,PE9,0.5,0.5,,,14.0,14.0,1.0,221.5,5.0,0.0,,0.8,france,non-binary,,E10_3,E10_3_PE9,0.5,-0.08944947877387277,0.560149863519195,1.2029972703839018
15,E10,3,T,0.625,0.625,,,,3.0,0.0,525.5,5.0,2.0,,0.6,france,non-binary,,E10_3,E10_3_T,0.625,0.1873542176547743,0.6348212753574288,2.696425507148575
16,E10,4,K,0.875,0.875,,,3.0,3.0,1.0,70.5,6.0,0.0,,0.8,france,male,,E10_4,E10_4_K,0.875,0.9869938620203977,0.8505345117664521,7.01069023532904
17,E10,4,PC,0.75,0.75,,,5.0,5.0,1.0,374.5,6.0,0.0,,0.6,france,male,,E10_4,E10_4_PC,0.75,0.6677127393011422,0.7644042594817293,5.288085189634584
18,E10,4,PE9,0.5,0.5,,,17.0,17.0,1.0,222.5,6.0,0.0,,0.4,france,male,,E10_4,E10_4_PE9,0.5,0.1376946152786924,0.6214249491212175,2.4284989824243493
19,E10,4,T,0.625,0.625,,,,4.0,0.0,526.5,6.0,1.0,,0.6,france,male,,E10_4,E10_4_T,0.625,0.43310776164668463,0.7011165030978423,4.022330061956845
20,E10,5,K,0.625,0.625,,,4.0,3.0,1.0,71.5,7.0,0.0,,0.6,belgium,male,,E10_5,E10_5_K,0.625,0.41535144002890906,0.6963265034650346,3.926530069300691
21,E10,5,PC,0.625,0.625,,,,5.0,0.0,375.5,7.0,2.0,,0.4,belgium,male,,E10_5,E10_5_PC,0.625,0.4107190778351285,0.6950768632701291,3.901537265402581
22,E10,5,PE9,0.375,0.375,,,,5.0,0.0,223.5,7.0,4.0,,0.6,belgium,male,,E10_5,E10_5_PE9,0.375,-0.3174302334273208,0.4986490777942934,-0.027018444114132123
23,E10,5,T,0.5,0.5,,,,5.0,0.0,527.5,7.0,1.0,,0.2,belgium,male,,E10_5,E10_5_T,0.5,0.07606319202480112,0.6047990678654948,2.0959813573098955
24,E10,6,K,0.5,0.5,,,,6.0,0.0,72.5,8.0,1.0,,0.6,france,male,,E10_6,E10_6_K,0.5,0.11145675394983466,0.6143469433925381,2.286938867850761
