,ExpNum,ID,CodeExclu,Answer,AverageExpertise_x,AvergeConfidence,Confidence,DelID,GuruID,ProbaDel,Unnamed: 0,Weight,CodeQuestion,Proba,country,gender,gender_,unique_id_x,unique_id_q_x,unique_id_y,unique_id_q_y,AverageExpertise_y,IRTExpertise,Normalized_IRT,Normalized_IRT_1,Buckets
0,E1,0,K,0.8,0.8,0.6,0.6,,0.0,0.0,2.0,1.0,,,0,0,0,E1_0,E1_0_K,E1_0,E1_0_K,0.8,0.6782440457054066,0.76348506571257,5.269701314251401,0.79
1,E1,0,PC,0.2857142857142857,0.2857142857142857,0.0357142857142857,0.03571428571428571,5.0,5.0,1.0,2.0,0.0,,,0,0,0,E1_0,E1_0_PC,E1_0,E1_0_PC,0.2857142857142857,-0.411684007976412,0.41501524114056965,-1.6996951771886053,0.36
2,E1,0,PE1,0.4,0.4,0.0,0.0,9.0,9.0,1.0,2.0,0.0,,,0,0,0,E1_0,E1_0_PE1,E1_0,E1_0_PE1,0.4,-0.6564709761464806,0.33675239473746443,-3.2649521052507104,0.36
3,E1,0,SR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,,,0,0,0,E1_0,E1_0_SR,E1_0,E1_0_SR,1.0,1.2040914960773894,0.9316080607706018,8.632161215412037,0.93
4,E1,0,T,0.6,0.6,0.15,0.15,,0.0,0.0,2.0,1.0,,,0,0,0,E1_0,E1_0_T,E1_0,E1_0_T,0.6,0.37471901367033345,0.6664425918454374,3.3288518369087488,0.64
5,E1,1,K,1.0,1.0,0.9,0.9,,1.0,0.0,3.0,1.0,,,0,0,0,E1_1,E1_1_K,E1_1,E1_1_K,1.0,1.1903404811731537,0.9272116111745216,8.544232223490432,0.93
6,E1,1,PC,0.7142857142857143,0.7142857142857143,0.75,0.75,,1.0,0.0,3.0,2.0,,,0,0,0,E1_1,E1_1_PC,E1_1,E1_1_PC,0.7142857142857143,0.37941040293408623,0.6679425143295099,3.358850286590201,0.64
7,E1,1,PE1,0.6,0.6,0.6,0.6,,1.0,0.0,3.0,6.0,,,0,0,0,E1_1,E1_1_PE1,E1_1,E1_1_PE1,0.6,-0.0883923697104998,0.5183774585746068,0.36754917149213817,0.5
8,E1,1,SR,1.0,1.0,0.75,0.75,,1.0,0.0,3.0,4.0,,,0,0,0,E1_1,E1_1_SR,E1_1,E1_1_SR,1.0,1.2040914960773894,0.9316080607706018,8.632161215412037,0.93
9,E1,1,T,1.0,1.0,0.75,0.75,,1.0,0.0,3.0,1.0,,,0,0,0,E1_1,E1_1_T,E1_1,E1_1_T,1.0,1.1169683986672678,0.903753221757955,8.075064435159103,0.93
10,E1,2,K,0.4,0.4,0.6,0.6,,2.0,0.0,4.0,1.0,,,0,0,0,E1_2,E1_2_K,E1_2,E1_2_K,0.4,-0.04232031494899354,0.5331075325333239,0.6621506506664794,0.5
11,E1,2,PC,0.14285714285714285,0.1428571428571428,0.1071428571428571,0.10714285714285714,3.0,3.0,1.0,4.0,0.0,,,0,0,0,E1_2,E1_2_PC,E1_2,E1_2_PC,0.1428571428571428,-0.9989443879332474,0.22725741539202196,-5.4548516921595605,0.21
12,E1,2,PE1,1.0,1.0,0.0,0.0,9.0,9.0,1.0,4.0,0.0,,,0,0,0,E1_2,E1_2_PE1,E1_2,E1_2_PE1,1.0,1.4180046901491514,1.0,10.0,0.93
13,E1,2,SR,1.0,1.0,1.0,1.0,,2.0,0.0,4.0,1.0,,,0,0,0,E1_2,E1_2_SR,E1_2,E1_2_SR,1.0,1.2040914960773894,0.9316080607706018,8.632161215412037,0.93
14,E1,2,T,1.0,1.0,0.5,0.5,,2.0,0.0,4.0,1.0,,,0,0,0,E1_2,E1_2_T,E1_2,E1_2_T,1.0,1.1169683986672678,0.903753221757955,8.075064435159103,0.93
15,E1,3,K,0.8,0.8,0.6,0.6,,3.0,0.0,5.0,1.0,,,0,0,0,E1_3,E1_3_K,E1_3,E1_3_K,0.8,0.7528048311975859,0.7873235050963822,5.746470101927645,0.79
16,E1,3,PC,0.2857142857142857,0.2857142857142857,0.25,0.25,,3.0,0.0,5.0,3.0,,,0,0,0,E1_3,E1_3_PC,E1_3,E1_3_PC,0.2857142857142857,-0.5295510948532979,0.37733098946170474,-2.4533802107659044,0.36
17,E1,3,PE1,1.0,1.0,0.65,0.65,1.0,1.0,1.0,5.0,0.0,,,0,0,0,E1_3,E1_3_PE1,E1_3,E1_3_PE1,1.0,1.4180046901491514,1.0,10.0,0.93
18,E1,3,SR,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,5.0,0.0,,,0,0,0,E1_3,E1_3_SR,E1_3,E1_3_SR,0.6666666666666666,0.6069333174809116,0.7406857287558339,4.8137145751166805,0.79
19,E1,3,T,0.8,0.8,0.75,0.75,,3.0,0.0,5.0,2.0,,,0,0,0,E1_3,E1_3_T,E1_3,E1_3_T,0.8,0.8005234954166542,0.8025800300505359,6.051600601010719,0.79
20,E1,4,K,0.4,0.4,0.1,0.1,10.0,10.0,1.0,6.0,0.0,,,0,0,0,E1_4,E1_4_K,E1_4,E1_4_K,0.4,-0.00938252067925779,0.543638344500399,0.8727668900079824,0.5
21,E1,4,PC,0.5714285714285714,0.5714285714285714,0.2857142857142857,0.2857142857142857,1.0,1.0,1.0,6.0,0.0,,,0,0,0,E1_4,E1_4_PC,E1_4,E1_4_PC,0.5714285714285714,0.0636103297173066,0.5669754865133768,1.3395097302675367,0.5
22,E1,4,PE1,0.4,0.4,0.0,0.0,3.0,1.0,1.0,6.0,0.0,,,0,0,0,E1_4,E1_4_PE1,E1_4,E1_4_PE1,0.4,-0.6564709761464805,0.33675239473746443,-3.2649521052507104,0.36
23,E1,4,SR,0.6666666666666666,0.6666666666666666,0.5833333333333334,0.5833333333333334,,4.0,0.0,6.0,1.0,,,0,0,0,E1_4,E1_4_SR,E1_4,E1_4_SR,0.6666666666666666,0.44031319577251515,0.6874142450227982,3.7482849004559675,0.64
24,E1,4,T,0.8,0.8,0.65,0.65,,4.0,0.0,6.0,2.0,,,0,0,0,E1_4,E1_4_T,E1_4,E1_4_T,0.8,0.8005234954166542,0.8025800300505359,6.051600601010719,0.79
25,E1,5,K,0.8,0.8,0.5,0.5,,5.0,0.0,7.0,1.0,,,0,0,0,E1_5,E1_5_K,E1_5,E1_5_K,0.8,0.7528048311975859,0.7873235050963822,5.746470101927645,0.79
