ID;PROMPT
T1 (Landmarks);Historical Monuments : You will be shown images of historical landmarks from around the world, and asked to identify the country where the landmark is located.
T1 Questions;True or False? This landmark is located in Dubaï.
;True or False? This landmark is located in Turkey.
;True or False? This landmark is located in Myanmar.
;True or False? This landmark is located in Spain.
;True or False? This landmark is located in Brazil.
;True or False? This landmark is located in the United States of America.
;True or False? This landmark is located in Cambodia.
;True or False? This landmark is located in Japan.
T2 (Movie);Movie themes: You will be provided with short audio files with theme songs from various movies, and asked to select the movie it was featured in.
T2 Questions;True or False? This music was featured as a theme song in the movie The Lord of the Ring.
;True or False? This music was featured as a theme song in the movie The Empire of Sun.
;True or False? This music was featured as a theme song in the movie The Schindler's List.
;True or False? This music was featured as a theme song in the movie The Pianist.
;True or False? This music was featured as a theme song in the movie Jurassic Park.
;True or False? This music was featured as a theme song in the movie Life of Pi.
;True or False? This music was featured as a theme song in the movie Slumdog Millionaire.
;True or False? This music was featured as a theme song in the movie Birdman.
T3 (English);English idioms: You will be given English idioms, and asked to identify their meaning. An idiom is a group of words that have a meaning not deducible from those of the individual words (e.g., rain cats and dogs, see the light ).
T3 Questions;"True or False? ""To have an axe to grind"" means ""A private end to serve""."
;"True or False? ""A man of straw"" means ""A very active person""."
;"True or False? ""To drive home"" means ""To emphasize""."
;"True or False? ""To smell a rat"" means ""To suspect foul dealings""."
;"True or False? ""To end in smoke"" means ""To excite great applause""."
;"True or False? ""To make clean breast of"" means ""To praise oneself""."
;"True or False? ""To hit the nail right on the head"" means ""To do the right thing""."
;"True or False? ""To put one's hand to plough"" means ""To take interest in technical work""."
T4 (Sport, 1);Sport Predictions: You will be given upcoming sport events (soccer and tennis games), and asked to predict the games' outcome?
T4 Questions;True or False? Paris Saint Germain will tie with the Olympique de Marseille during the French League game on April 17th.
;True or False? Sevilla FC will beat Real Madrid during the Spanish League game on April 15th.
;True or False? Atalanta will loose to RB Leipzig during the Europa League game on April 14th.
;True or False? Stefanos Tsitsipas will win the ATP Masters 1000 Monte Carlo Tournament on April 17th.
;True or False? Nor Rafael Nadal neither Novak Djokovic will qualify for the ATP Masters 1000 Monte Carlo Final on April 17th.
;True or False? FC Barcelona will lose to Eintracht during the Europa League game on April 14th.
;True or False? Atletico di Madrid will qualify for the Champions League semi-final on April 13th instead of Manchester City.
;True or False? Monaco and Stade Rennais will tie during the French League game on April 15th.
T5 (Sport, 2, 3, 4);Sport Predictions: You will be given the names of tennis players, and asked to predict which round they will make it to in the Tennis French Open (Roland Garros), taking place in May-June 2022?
T5 Questions;True or False? Carlos Alcaraz will win the 2022 French Open (Roland Garros).
;True or False? Garbiñe Muguruza will win another title at the French Open (Roland Garros) in 2022.
;True or False? Cori Gauff will make it to the second week of the 2022 French Open (Roland Garros).
;True or False? Casper Ruud will make it to the second week of the 2022 French Open (Roland Garros).
;True or False? At least five American players (women and men combined) will make it to the fourth round at the 2022 French Open (Roland Garros).
;True or False? Nor Rafael Nadal neither Novak Djokovic will make it to the final of the 2022 French Open (Roland Garros).
;True or False? Iga Swiatek will make it to the quarterfinals of the 2022 French Open (Roland Garros).
;True or False? Both Daniil Medvedev and Stefanos Tsitsipas will make it to the semifinals at the 2022 French Open (Roland Garros).
T6 (Sports, 5);Sport Predictions: You will be given the names of tennis players (women and men), and asked to predict which round they will make it to in the ongoing Wimbledon Tennis Tournament (The Championships, Wimbledon), taking place between June, 27 and July, 10 2022.
T6 Questions;True or False? Rafael Nadal will lose his ongoing game against Botic Van De Zandschulp to qualify for the quarter-finals at the  2022 Wimbledon Tennis Tournament.
;True or False? Simona Halep will win another title at the 2022 Wimbledon Tennis Tournament.
;True or False? Tatjana Maria will make it to the semi-finals of the 2022 Wimbledon Tennis Tournament.
;True or False? Jannik Sinner will make it to the semi-finals of the 2022 Wimbledon Tennis Tournament.
;True or False? At least two American players (women and men combined) will make it to the quater-finals of the 2022 Wimbledon Tennis Tournament.
;True or False? Nor Rafael Nadal neither Novak Djokovic will make it to the final of the 2022 Wimbledon Tennis Tournament.
;True or False? Ons Jabeur will make it to the finals of the 2022 Wimbledon Tennis Tournament.
;True or False? Both David Goffin and Nick Kyrgios will make it to the semi-finals at the 2022 Wimbledon Tennis Tournament.
T7 (Sport, 6);Soccer Predictions: You will be given upcoming European men soccer games and asked to predict the games' outcome.
T7 Questions;True or False? Mallorca will lose against Espanyol on Friday October, 28th in the Spanish LaLiga.
;True or False? Lens will lose against Toulouse on Friday October, 28th French Ligue 1.
;True or False? Leicester City will win against Manchester City on Saturday October, 29th in the English Premier League.
;True or False? Valencia will win against Barcelona on Saturday October, 29th in the Spanish LaLiga.
;True or False? Bayern Munich and Mainz will tie on Saturday October, 29th in the German Bundesliga.
;True or False? Lecce will win against Juventus on Saturday October, 29th in the Italian Series A .
;True or False? Real Madrid will lose against Girona on Sunday October, 30th in the Spanish LaLiga.
;True or False? Lyon will lose against Lille on Sunday October, 30th in the French Ligue 1.
T8 (Flags);Flags From Around the World: You will be shown images of flags from around the world, and asked to identify their country of origin?
T8 Questions;True or False? This flag belongs to Austria.
;True or False? This flag belongs to Guinea.
;True or False? This flag belongs to Kazakhstan.
;True or False? This flag belongs to Yemen.
;True or False? This flag belongs to India.
;True or False? This flag belongs to Iran.
;True or False? This flag belongs to Algeria.
;True or False? This flag belongs to Italy.
T9 (Building);Construction Year of Buildings: You will shown images of famous buildings from around the world, and asked to estimate the year in which the building was completed.
T9 Questions;True or False? This building was built in 2003.
;True or False? This building was built in the 17th century.
;True or False? This building was built between 1950 and 1965.
